Passengers,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,AgeGroup,FareGroup
852,0,3,"Svensson, Mr. Johan",male,74,0,0,347060,7.775,NA,S,Elder,Under 50
494,0,1,"Artagaveytia, Mr. Ramon",male,71,0,0,PC 17609,49.5042,NA,C,Elder,Under 50
97,0,1,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C,Elder,Under 50
117,0,3,"Connors, Mr. Patrick",male,71,0,0,370369,7.75,NA,Q,Elder,Under 50
746,0,1,"Crosby, Capt. Edward Gifford",male,70,1,1,WE/P 5735,71,B22,S,Elder,Over 50
673,0,2,"Mitchell, Mr. Henry Michael",male,70,0,0,C.A. 24580,10.5,NA,S,Elder,Under 50
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,NA,S,Elder,Under 50
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C,Elder,Over 50
457,0,1,"Millet, Mr. Francis Davis",male,65,0,0,13509,26.55,E38,S,Elder,Under 50
281,0,3,"Duane, Mr. Frank",male,65,0,0,336439,7.75,NA,Q,Elder,Under 50
439,0,1,"Fortune, Mr. Mark",male,64,1,4,19950,263,C23 C25 C27,S,Elder,Over 50
546,0,1,"Nicholson, Mr. Arthur Ernest",male,64,0,0,693,26,NA,S,Elder,Under 50
253,0,1,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S,Elder,Under 50
556,0,1,"Wright, Mr. George",male,62,0,0,113807,26.55,NA,S,Elder,Under 50
171,0,1,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,B19,S,Elder,Under 50
626,0,1,"Sutton, Mr. Frederick",male,61,0,0,36963,32.3208,D50,S,Elder,Under 50
327,0,3,"Nysveen, Mr. Johan Hansen",male,61,0,0,345364,6.2375,NA,S,Elder,Under 50
685,0,2,"Brown, Mr. Thomas William Solomon",male,60,1,1,29750,39,NA,S,Elder,Under 50
695,0,1,"Weir, Col. John",male,60,0,0,113800,26.55,NA,S,Elder,Under 50
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,13.5,NA,S,Middle Aged,Under 50
95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,NA,S,Middle Aged,Under 50
660,0,1,"Newell, Mr. Arthur Webster",male,58,0,2,35273,113.275,D48,C,Middle Aged,Over 50
488,0,1,"Kent, Mr. Edward Austin",male,58,0,0,11771,29.7,B37,C,Middle Aged,Under 50
